"","month","total_transaction"
"1","2023-05",4513.58
"2","2023-06",13.58
"3","2023-07",13.58
"4","2023-08",3013.58
"5","2023-09",15.84
"6","2023-10",15.84
"7","2023-11",165.84
"8","2023-12",15.84
"9","2024-01",651.12
"10","2024-02",560.76
"11","2024-03",1672102.13999999
"12","2024-04",9457103.15000018
"13","2024-05",10561057.6000003
"14","2024-06",9981991.19000014
"15","2024-07",10604518.0800002
"16","2024-08",10835678.5200003
"17","2024-09",10093140.4500003
"18","2024-10",10187808.7000003
"19","2024-11",10737660.8300002
"20","2024-12",12265841.0600004
"21","2025-01",12543562.7500002
"22","2025-02",11512548.3600002
"23","2025-03",9142556.09000018
